gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1489,0
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3403,0
0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,394,0
0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,912,1
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,2837,0
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3032,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6058,1
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,348,0
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1304,0
0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,510,0
1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,319,0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510,1
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,5173,0
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4664,1
0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,4894,0
1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,4419,0
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1278,0
0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,5168,0
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,4983,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3821,1
1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1528,0
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,141,0
0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,4669,0
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5236,1
0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,5988,0
1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,4370,0
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,250,0
0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,290,0
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1378,0
1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,3583,0
1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,51,0
1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,2166,0
0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,5845,0
0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1047,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,639,0
1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3383,0
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1966,0
1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,659,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2373,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,5071,0
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2300,1
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,2790,0
1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3064,0
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2066,1
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,339,0
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4239,1
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,5230,0
0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,5917,0
0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,277,1
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4260,1
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1001,0
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,459,0
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2507,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,3816,0
1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5278,1
1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2104,0
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,216,1
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2044,1
1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,48,0
1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,6099,0
0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,2090,0
0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2015,0
1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,2757,0
1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,4440,1
0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,678,0
0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,6076,0
1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,359,0
0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1502,0
1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,4822,0
1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,5218,0
1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,6038,0
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,1621,0
0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,2333,0
0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,218,0
1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,5730,0
1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,72,0
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2552,0
0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2336,0
1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,3571,0
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,5974,1
0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1536,1
1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,5291,0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,6174,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,2152,0
1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,237,0
0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,4493,0
1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1580,0
0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,2976,0
1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,2727,0
1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,3250,0
1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,4450,0
0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,5063,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,2329,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,1390,0
1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,1610,0
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,1326,1
0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,1807,0
1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,525,0
0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2198,0
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,4560,1
1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,2365,0
0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,3495,0
1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,4756,0
1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4015,0
1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,6175,1
0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1016,0
0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,5529,0
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,269,1
0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,2583,0
1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,561,0
0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,231,1
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,2456,0
0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,5128,0
1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,109.2,5946,0
0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,2771,0
0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,4999,0
0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,54.8,5674,0
1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,2376,0
1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2187,0
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,146,1
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,4051,1
1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,99.0,3653,0
0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,93.5,3921,0
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,864,1
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,3414,1
1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,2280,0
1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,19.85,1529,0
0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,3494,0
0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,115.1,5524,0
1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,4775,0
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,6021,1
0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,45.0,416,0
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,583,1
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,660,1
1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,89.85,4178,0
0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,942,0
0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,4263,0
0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,88.1,4589,0
1,0,0,0,50,1,2,2,1,1,1,1,1,1,2,0,0,24.9,363,0
0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,105.0,1633,0
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,196,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.25,1241,0
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,930,1
1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,59.75,2987,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,2044,1
1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,107.05,1790,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,5513,1
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,3422,1
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,4658,1
1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,64.95,615,0
1,0,0,0,14,0,1,0,0,0,2,2,2,2,0,1,2,55.0,5873,0
0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,50.55,2089,0
0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,55.15,2803,0
0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,2,51.2,4212,0
0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,25.4,2155,0
0,0,0,0,68,1,2,0,2,0,0,0,0,0,0,0,3,54.45,3176,0
1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1306,1
0,0,0,0,22,1,2,1,0,0,0,0,0,0,1,1,1,76.0,1316,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,44.35,6383,0
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,5501,1
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,4955,1
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,3698,1
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1213,1
1,0,0,0,35,1,0,0,2,2,2,0,0,0,1,0,3,61.2,1655,0
1,0,1,1,23,1,0,1,0,2,2,2,0,0,1,0,3,86.8,1544,0
0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,89.35,4686,0
0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.7,1823,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.25,1611,0
0,0,1,1,71,1,0,1,0,0,2,0,0,0,2,0,2,76.05,4517,0
1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,2977,0
1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,74.55,2613,0
0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,5668,1
1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,64.9,922,0
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,3387,1
1,0,0,0,4,1,0,1,0,0,2,2,0,2,0,1,2,90.4,3083,0
0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,60.3,3498,0
1,0,0,1,38,1,2,1,0,2,0,0,0,0,0,1,3,81.85,2732,0
1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.8,417,0
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,1943,1
1,0,1,1,29,1,0,0,0,0,2,2,2,2,2,0,3,75.55,1683,0
1,1,1,1,38,1,2,1,0,2,0,0,2,2,0,0,2,101.15,3220,0
1,0,0,1,48,1,2,0,2,0,2,0,2,2,1,1,1,78.75,3173,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,19.25,1480,0
0,0,0,0,22,1,0,1,2,0,0,2,0,2,0,1,2,89.05,1460,0
0,0,0,0,43,1,2,1,2,2,2,2,2,2,2,0,1,115.05,4134,0
0,1,1,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.35,2954,0
1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,3547,1
1,0,1,1,51,1,2,1,2,2,0,2,2,2,1,0,1,110.05,4697,0
1,0,0,0,71,1,0,2,1,1,1,1,1,1,2,1,1,19.9,643,0
0,0,1,1,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,2658,1
1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,1867,1
1,0,1,0,35,1,2,1,0,0,0,2,2,0,0,1,1,91.5,2813,0
